"dataset_id";"observacao_id";"camada_id";"amostra_id";"camada_nome";"profund_sup";"profund_inf";"terrafina";"argila";"silte";"areia";"carbono";"ctc";"ph";"dsi";"ce"
"ctb0001";"CM-A7-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A7-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A7-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A7-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B1-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B1-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B1-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B1-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B2-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B2-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B2-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B2-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B3-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B3-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B3-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B3-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-B4-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
